Room Id,Room Number,Room Name,Level,,Room Id,Room Number,Room Name,Level
,,,,,10723,722,Sim Hos Halls,7 Floor HPSB
,,,,,10724,723,Nurses Station,7 Floor HPSB
,,,,,10725,724,Private Room,7 Floor HPSB
,,,,,10726,725,Delivery Room,7 Floor HPSB
,,,,,10727,726,Nursery,7 Floor HPSB
,,,,,10728,727,Storage,7 Floor HPSB
,,,,,10729,728,Autoclave,7 Floor HPSB
,,,,,10730,729,Operation Room,7 Floor HPSB
,,,,,10731,730,Emergency Room,7 Floor HPSB
,,,,,10732,731,Isolation Room,7 Floor HPSB
,,,,,10733,732,Rural Health Setting,7 Floor HPSB
,,,,,10734,733,Ward,7 Floor HPSB
,,,,,10735,734,ICU Room,7 Floor HPSB
,,,,,10736,735,Right Elevator,7 Floor HPSB
,,,,,10737,736,Left Elevator,7 Floor HPSB
,,,,,,,,
,,,,,10801,801,Classroom,8 Floor HPSB
,,,,,10802,802,Classroom,8 Floor HPSB
,,,,,10803,803,Classroom,8 Floor HPSB
,,,,,10804,804,Classroom,8 Floor HPSB
,,,,,10805,805,Classroom,8 Floor HPSB
,,,,,10806,806,Com Lab,8 Floor HPSB
,,,,,10807,807,Classroom,8 Floor HPSB
,,,,,10808,808,Classroom,8 Floor HPSB
,,,,,10809,809,Classroom,8 Floor HPSB
,,,,,10810,810,Classroom,8 Floor HPSB
,,,,,10811,811,Classroom,8 Floor HPSB
,,,,,10812,812,Classroom,8 Floor HPSB
,,,,,10813,813,Classroom,8 Floor HPSB
,,,,,10814,814,Skills Lab Left,8 Floor HPSB
,,,,,10815,817,Skills Lab Right,8 Floor HPSB
,,,,,10816,817,Skills Lab Left,8 Floor HPSB
,,,,,10817,818,Storage,8 Floor HPSB
,,,,,10819,820,Female Cr Right,8 Floor HPSB
,,,,,10820,821,Male Cr Right,8 Floor HPSB
,,,,,10821,822,Janitors Closet,8 Floor HPSB
,,,,,10822,814,Skills Lab Right,8 Floor HPSB
,,,,,10823,823,Right Elevator,8 Floor HPSB
,,,,,10824,824,Left Elevator,8 Floor HPSB
,,,,,10825,824,Student Center,8 Floor HPSB
,,,,,10826,824,Elec Room,8 Floor HPSB
,,,,,10827,824,Janitors Closet,8 Floor HPSB
,,,,,10828,824,Female Cr Left,8 Floor HPSB
,,,,,10829,824,Male Cr Left,8 Floor HPSB
,,,,,10830,824,Storage,8 Floor HPSB
,,,,,,,,
,,,,,10901,901,Multi Media Room,9 Floor HPSB
,,,,,10902,902,Zoology Room,9 Floor HPSB
,,,,,10903,903,Zoology Room,9 Floor HPSB
,,,,,10904,904,Central Lab,9 Floor HPSB
,,,,,10905,905,Science Research Lab,9 Floor HPSB
,,,,,10906,906,Physics Lab,9 Floor HPSB
,,,,,10907,907,Physics Lab,9 Floor HPSB
,,,,,10908,908,Microbiology Lab,9 Floor HPSB
,,,,,10909,909,Chemistry Room,9 Floor HPSB
,,,,,10910,910,Chemistry Room,9 Floor HPSB
,,,,,10911,911,Orthopedic Room,9 Floor HPSB
,,,,,10912,912,Autoclave,9 Floor HPSB
,,,,,10913,913,Storage,9 Floor HPSB
,,,,,10914,914,Formula Room,9 Floor HPSB
,,,,,10915,915,Nursery,9 Floor HPSB
,,,,,10916,916,Delivery Room,9 Floor HPSB
,,,,,10917,917,Private Room,9 Floor HPSB
,,,,,10918,918,Nurses Station,9 Floor HPSB
,,,,,10919,919,Storage,9 Floor HPSB
,,,,,10920,920,Emergency Room,9 Floor HPSB
,,,,,10921,921,Isolation Room,9 Floor HPSB
,,,,,10922,922,Rural Health Setting,9 Floor HPSB
,,,,,10923,923,Rural Health Office,9 Floor HPSB
,,,,,10924,924,Ward,9 Floor HPSB
,,,,,10925,925,Sim Hos Halls,9 Floor HPSB
,,,,,10926,926,Leasable Space,9 Floor HPSB
,,,,,10927,927,Elec Room,9 Floor HPSB
,,,,,10928,928,Janitors Closet,9 Floor HPSB
,,,,,10929,929,Female Cr Left,9 Floor HPSB
,,,,,10930,930,Male Cr Left,9 Floor HPSB
,,,,,10931,931,Right Elevator,9 Floor HPSB
,,,,,10932,932,Left Elevator,9 Floor HPSB
,,,,,10934,934,Janitors Closet,9 Floor HPSB
,,,,,10935,935,Female Cr Right,9 Floor HPSB
,,,,,10936,936,Male Cr Right,9 Floor HPSB
,,,,,,,,
,,,,,101001,1001,Classroom,10 Floor HPSB
,,,,,101002,1002,Classroom,10 Floor HPSB
,,,,,101003,1003,Classroom,10 Floor HPSB
,,,,,101004,1004,Classroom,10 Floor HPSB
,,,,,101005,1005,Classroom,10 Floor HPSB
,,,,,101006,1006,Com Lab,10 Floor HPSB
,,,,,101007,1007,Classroom,10 Floor HPSB
,,,,,101008,1008,Classroom,10 Floor HPSB
,,,,,101009,1009,Classroom,10 Floor HPSB
,,,,,101010,1010,Classroom,10 Floor HPSB
,,,,,101011,1011,Classroom,10 Floor HPSB
,,,,,101012,1012,Multi Media Room,10 Floor HPSB
,,,,,101013,1013,Classroom,10 Floor HPSB
,,,,,101014,1014,Classroom,10 Floor HPSB
,,,,,101015,1015,Classroom,10 Floor HPSB
,,,,,101016,1016,Classroom,10 Floor HPSB
,,,,,101017,1017,Classroom,10 Floor HPSB
,,,,,101018,1018,Storage,10 Floor HPSB
,,,,,101019,1019,Student Center,10 Floor HPSB
,,,,,101020,1020,Elec Room,10 Floor HPSB
,,,,,101021,1021,Janitors Closet,10 Floor HPSB
,,,,,101022,1022,Female Cr Left,10 Floor HPSB
,,,,,101023,1023,Male Cr Left,10 Floor HPSB
,,,,,101024,1024,Right Elevator,10 Floor HPSB
,,,,,101025,1025,Left Elevator,10 Floor HPSB
,,,,,101027,1027,Janitors Closet,10 Floor HPSB
,,,,,101028,1028,Female Cr Right,10 Floor HPSB
,,,,,101029,1029,Male Cr Right,10 Floor HPSB
,,,,,101030,1030,Storage,10 Floor HPSB
,,,,,,,,
,,,,,101101,1101,Kitchen,11 Floor HPSB
,,,,,101102,1102,Dining Area,11 Floor HPSB
,,,,,101103,1103,HPSB Canteen Entrance,11 Floor HPSB
,,,,,101104,1104,Multi Media Room,11 Floor HPSB
,,,,,101105,1105,Elec Room,11 Floor HPSB
,,,,,101106,1106,Janitors Closet,11 Floor HPSB
,,,,,101107,1107,Female Cr Left,11 Floor HPSB
,,,,,101108,1108,Male Cr Left,11 Floor HPSB
,,,,,101109,1109,Aero Room,11 Floor HPSB
