Room Id,Name,X,Y,Z
101211,Room,-48.18598883,25.855393,144.3569554
101212,Room,-31.95512209,25.855393,144.3569554
101210,Room,-38.39901844,16.45602539,144.3569554
101201,Room,-15.62735465,10.78733462,144.3569554
101202,Room,0.700412798,10.78733462,144.3569554
101207,Room,-17.76167728,-16.63556263,144.3569554
101206,Room,11.93415299,-16.63556263,144.3569554
101203,Room,21.69869132,7.312978007,144.3569554
101204,Room,39.58626586,3.295159043,144.3569554
101205,Room,156.332512,31.4148259,144.3569554
24,Room,161.3999617,-33.19515839,144.3569554
10501,Room,-109.9140259,-20.78750074,52.49343832
10503,Room,-14.91974206,7.163111187,52.49343832
10504,Room,36.43267511,7.163111187,52.49343832
10505,Room,58.54980528,7.163111187,52.49343832
10506,Room,80.24323564,7.163111187,52.49343832
10507,Room,102.021406,7.163111187,52.49343832
10508,Room,140.3238689,-21.22477619,52.49343832
10509,Room,122.5284768,-21.22477619,52.49343832
10510,Room,102.2756258,-21.22477619,52.49343832
10511,Room,80.24323564,-21.22477619,52.49343832
10512,Room,58.38032536,-21.22477619,52.49343832
10513,Room,167.0754499,7.163111187,52.49343832
10514,Room,145.7331057,7.163111187,52.49343832
10515,Room,145.7331057,-21.22477619,52.49343832
10516,Room,12.04703285,-17.20695723,52.49343832
10517,Room,-18.23995203,-17.20695723,52.49343832
10518,Room,-29.89660197,-17.20695723,52.49343832
10519,Room,-48.42294244,25.92424491,52.49343832
10520,Room,-27.25724154,25.96983558,52.49343832
10,Room,167.1680331,-31.20852902,52.49343832
5,Room,29.49023237,-36.0513003,52.49343832
11105,Room,-2.604898205,-7.779126378,52.49343832
10601,Room,-151.033093,-21.67814004,65.6167979
10602,Room,-127.6404394,-21.67814004,65.6167979
10603,Room,-103.7658761,-21.67814004,65.6167979
10604,Room,-78.63863507,-21.67814004,65.6167979
10605,Room,-54.02720253,-21.67814004,65.6167979
10606,Room,-28.45783998,-29.65732475,65.6167979
10607,Room,-7.014945162,7.259824057,65.6167979
10608,Room,14.79638427,7.259824057,65.6167979
10609,Room,36.65194706,7.259824057,65.6167979
10610,Room,58.69685562,7.259824057,65.6167979
10611,Room,80.06345931,7.259824057,65.6167979
10612,Room,102.1083679,7.259824057,65.6167979
613,Room,122.0699115,7.259824057,65.6167979
10614,Room,140.4810439,7.259824057,65.6167979
10615,Room,122.9391157,-21.28836215,65.6167979
10616,Room,85.90342705,-21.28836215,65.6167979
10617,Room,145.5375415,7.259824057,65.6167979
10618,Room,166.5448006,7.259824057,65.6167979
10619,Room,167.4105516,1.700194338,65.6167979
10620,Room,151.5272634,-21.34531925,65.6167979
10621,Room,12.29474437,-16.08668063,65.6167979
10622,Room,-17.9905813,-17.27054319,65.6167979
10623,Room,-29.63311525,-17.66032108,65.6167979
10624,Room,-36.11756455,16.26187891,65.6167979
10625,Room,-48.86540236,26.06223977,65.6167979
10626,Room,-27.42250754,26.06223977,65.6167979
10627,Room,-38.87560894,-22.14606348,65.6167979
11106,Room,-2.603255537,-7.715127176,65.6167979
12,Room,167.1134702,-31.3395171,65.6167979
11,Room,-166.4206613,-29.90713251,65.6167979
10628,Room,-152.4826543,-33.12614369,65.6167979
